name,category,revenue_30d,biz_model,gtm_model,source_url,revenue_band
Tribe Social,Community,17000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/community,$10k–$50k
Dotmarket.eu - Achat / vente de business web,Marketplace,16000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/marketplace,$10k–$50k
Lancer.app,Sales,16000,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/sales,$10k–$50k
"Orel Zilberman, LLC",Fintech,16000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/fintech,$10k–$50k
setupclaw,OpenClaw (special),16000,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$10k–$50k
ClaudeKit,Developer Tools,15000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$10k–$50k
Coral,OpenClaw (special),15000,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$10k–$50k
Draftly,No-Code,15000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/no-code,$10k–$50k
Enquiry Genie,Analytics,15000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/analytics,$10k–$50k
Mig,Productivity,15000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/productivity,$10k–$50k
Reddit Agency,Marketing,15000,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$10k–$50k
surstrom,Fintech,15000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/fintech,$10k–$50k
WordPress Plugins - pSEO + Social Media,SaaS,15000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/saas,$10k–$50k
*** OF PROMPT OÜ,AI,14000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$10k–$50k
Anonymous Startup,Mobile Apps,14000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$10k–$50k
Ave Rides LLC,Travel,14000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/travel,$10k–$50k
Clickbait INC,AI,14000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$10k–$50k
Data Bloo,Analytics,14000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/analytics,$10k–$50k
EverythingWeather,Mobile Apps,14000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$10k–$50k
OpenClaw Pro,OpenClaw (special),14000,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$10k–$50k
OVER THE PLANET,Travel,14000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/travel,$10k–$50k
SetSmart,SaaS,14000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/saas,$10k–$50k
BDM Business,Marketing,13000,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$10k–$50k
BlogToPin,Marketing,13000,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$10k–$50k
Bookedin,Sales,13000,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/sales,$10k–$50k
Hirevire,Recruiting & HR,13000,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/recruiting,$10k–$50k
Prymatica,Marketing,13000,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$10k–$50k
Shredder - Ski & Snowboard,Health & Fitness,13000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/health-fitness,$10k–$50k
CoupleAI,Entertainment,12000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/entertainment,$10k–$50k
Esferas.io,AI,12000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$10k–$50k
"Faceless, LLC",Content Creation,12000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$10k–$50k
Hidden Business,Mobile Apps,12000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$10k–$50k
Nordgard,Community,12000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/community,$10k–$50k
PostNitro,Content Creation,12000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$10k–$50k
Rybbit,Analytics,12000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/analytics,$10k–$50k
Sandimax,Utilities,12000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/utilities,$10k–$50k
SMMDealFinder.com,AI,12000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$10k–$50k
Stealth Venture,SaaS,12000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/saas,$10k–$50k
timbo,Health & Fitness,12000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/health-fitness,$10k–$50k
Yakkr Growth,Content Creation,12000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$10k–$50k
ChatEDU Inc.,Education,11000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/education,$10k–$50k
EverFlame Design,Design Tools,11000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/design-tools,$10k–$50k
Kassenmeister | AK Software GmbH,E-commerce,11000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$10k–$50k
nutrIA,Mobile Apps,11000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$10k–$50k
Rendler Studio Inc.,Marketing,11000,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$10k–$50k
RTMP.IN,Social Media,11000,Software / SaaS,Creator / content / audience-led,https://trustmrr.com/category/social-media,$10k–$50k
Shiny Go Clean USA,Marketplace,11000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/marketplace,$10k–$50k
The Brazil Girl,Education,11000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/education,$10k–$50k
Bootstrapped Online Education & Courses SaaS,Education,10000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/education,$10k–$50k
Catalister,E-commerce,10000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$10k–$50k
Cool Game,Games,10000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/games,$10k–$50k
DM Champ,Sales,10000,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/sales,$10k–$50k
Guidejar,Customer Support,10000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/customer-support,$10k–$50k
Marea Alcalina,E-commerce,10000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$10k–$50k
Pitchlo,Marketplace,10000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/marketplace,$10k–$50k
ShipFast,Developer Tools,10000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$10k–$50k
UX Magic Inc.,Design Tools,10000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/design-tools,$10k–$50k
BERACE,Games,9800,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/games,$5k–$10k
Cure My Swing,E-commerce,9700,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$5k–$10k
Jake Marine,Sales,9700,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/sales,$5k–$10k
MapPack ToolBox,Marketing,9600,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$5k–$10k
Souls.zip,Marketplace,9300,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/marketplace,$5k–$10k
Prototipal,Developer Tools,9200,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$5k–$10k
Frontproxy,Developer Tools,9100,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$5k–$10k
Fidelatoo,Mobile Apps,9000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$5k–$10k
Numbers Game Limited,Analytics,9000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/analytics,$5k–$10k
StartClaw,OpenClaw (special),8900,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$5k–$10k
CodeFast,Education,8800,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/education,$5k–$10k
Hidden Business,Social Media,8800,Software / SaaS,Creator / content / audience-led,https://trustmrr.com/category/social-media,$5k–$10k
Match Metrics,Analytics,8800,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/analytics,$5k–$10k
ControlResell,E-commerce,8700,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$5k–$10k
FitCal,Health & Fitness,8500,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/health-fitness,$5k–$10k
Arcton,Sales,8400,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/sales,$5k–$10k
FIVEMANAGE AS,Developer Tools,8400,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$5k–$10k
Subbasta,Real Estate,8300,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/real-estate,$5k–$10k
Confidential Startup 2,Mobile Apps,8200,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$5k–$10k
RapidNative,Developer Tools,7900,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$5k–$10k
Hamptons Leisure Limo,Travel,7800,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/travel,$5k–$10k
Sleek 1,Design Tools,7800,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/design-tools,$5k–$10k
"Stilo Media, LLC",Content Creation,7800,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$5k–$10k
LarryBrain - Openclaw Marketplace,OpenClaw (special),7700,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$5k–$10k
OpenClaw Kit,Developer Tools,7700,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$5k–$10k
Total Football Analysis,News & Magazines,7700,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/news-magazines,$5k–$10k
Attivita24,Marketplace,7400,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/marketplace,$5k–$10k
happyMD,Health & Fitness,7400,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/health-fitness,$5k–$10k
AI Labs,AI,7100,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$5k–$10k
Strive Hybrid,Health & Fitness,7000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/health-fitness,$5k–$10k
Trackly c/o Changeflow Ltd,SaaS,7000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/saas,$5k–$10k
Hidden Business (iOS Only Generative AI Mobile App),Mobile Apps,6800,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$5k–$10k
Linkar,Fintech,6800,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/fintech,$5k–$10k
Bibly,Mobile Apps,6700,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$5k–$10k
Stealth Venture,Health & Fitness,6700,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/health-fitness,$5k–$10k
Upvote Club,Social Media,6700,Software / SaaS,Creator / content / audience-led,https://trustmrr.com/category/social-media,$5k–$10k
Career Hound,Recruiting & HR,6600,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/recruiting,$5k–$10k
LIZAONAIR,Social Media,6600,Software / SaaS,Creator / content / audience-led,https://trustmrr.com/category/social-media,$5k–$10k
AI Image Editor,Mobile Apps,6500,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$5k–$10k
Eloking,E-commerce,6500,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$5k–$10k
Mathmpv's Startup,Health & Fitness,6500,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/health-fitness,$5k–$10k
Vid Maker Pro,Content Creation,6500,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$5k–$10k
OpenAlternative,Developer Tools,6400,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$5k–$10k
STOIC MANUAL LLC,Education,6300,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/education,$5k–$10k
Agent 37,OpenClaw (special),6100,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$5k–$10k
EmailSneak.com,Marketing,6100,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$5k–$10k
AtomicBot.ai,OpenClaw (special),6000,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$5k–$10k
"FeedGuardians, VAT: 44956258",Social Media,6000,Software / SaaS,Creator / content / audience-led,https://trustmrr.com/category/social-media,$5k–$10k
Zero G,Fintech,5900,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/fintech,$5k–$10k
Bakering App SL,E-commerce,5800,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$5k–$10k
ytZolo,Productivity,5800,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/productivity,$5k–$10k
Komposo,Design Tools,5700,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/design-tools,$5k–$10k
Xagio.com - AI SEO,AI,5600,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$5k–$10k
Yoga Sunrise Poitiers,Health & Fitness,5600,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/health-fitness,$5k–$10k
EditMyPodcast,Content Creation,5500,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$5k–$10k
Aura AI - AI Video & Image Generator,Content Creation,5400,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$5k–$10k
Barron Tech LLC,Sales,5400,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/sales,$5k–$10k
BIDVA - Buy LinkedIn Accounts,Marketing,5300,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$5k–$10k
Promethee (Eclipse),Productivity,5300,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/productivity,$5k–$10k
Roboquant AI,No-Code,5300,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/no-code,$5k–$10k
Stealth Company (Global Job Board),Recruiting & HR,5200,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/recruiting,$5k–$10k
Easy App Reports by Beyond Analytics,Analytics,5100,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/analytics,$5k–$10k
Nytfire Apps,Real Estate,5100,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/real-estate,$5k–$10k
ScreenSage Pro,Content Creation,5100,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$5k–$10k
WRITING9,Education,5100,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/education,$5k–$10k
PodSpot,Utilities,5000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/utilities,$5k–$10k
