name,category,revenue_30d,biz_model,gtm_model,source_url,revenue_band
Hidden Business (Sports betting tools),Analytics,19000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/analytics,$10k–$50k
Private Venture (Mobile Apps),Mobile Apps,19000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$10k–$50k
AI MONEY GROUP,OpenClaw (special),18000,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$10k–$50k
Altitude Cleaning Crew,Marketplace,18000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/marketplace,$10k–$50k
Glamour,Mobile Apps,18000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$10k–$50k
Virlo,SaaS,18000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/saas,$10k–$50k
Yaak,Developer Tools,18000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$10k–$50k
Yeema LTD,Marketing,18000,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$10k–$50k
setupclaw,OpenClaw (special),18000,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$10k–$50k
AutoContent API,Content Creation,17000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$10k–$50k
"Orel Zilberman, LLC",Fintech,17000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/fintech,$10k–$50k
Tribe Social,Community,17000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/community,$10k–$50k
*** OF PROMPT OÜ,AI,16000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$10k–$50k
Dotmarket.eu,Marketplace,16000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/marketplace,$10k–$50k
Enquiry Genie,Analytics,16000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/analytics,$10k–$50k
WordPress Plugins - pSEO + Social Media,SaaS,16000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/saas,$10k–$50k
surstrom,Fintech,16000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/fintech,$10k–$50k
ClaudeKit,Developer Tools,15000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$10k–$50k
Lancer.app,Sales,15000,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/sales,$10k–$50k
Mig,Productivity,15000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/productivity,$10k–$50k
Reddit Agency,Marketing,15000,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$10k–$50k
BlogToPin,Marketing,14000,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$10k–$50k
Clickbait INC,AI,14000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$10k–$50k
Coral,OpenClaw (special),14000,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$10k–$50k
Data Bloo,Analytics,14000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/analytics,$10k–$50k
EverythingWeather,Mobile Apps,14000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$10k–$50k
Hirevire,Recruiting & HR,14000,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/recruiting,$10k–$50k
OVER THE PLANET,Travel,14000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/travel,$10k–$50k
SetSmart,SaaS,14000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/saas,$10k–$50k
Anonymous Startup (Mobile Apps),Mobile Apps,13000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$10k–$50k
Ave Rides LLC,Travel,13000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/travel,$10k–$50k
RTMP.IN,Social Media,13000,Software / SaaS,Creator / content / audience-led,https://trustmrr.com/category/social-media,$10k–$50k
Shredder - Ski & Snowboard,Health & Fitness,13000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/health-fitness,$10k–$50k
BDM,Marketing,12000,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$10k–$50k
Bookedin,Sales,12000,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/sales,$10k–$50k
CoupleAI,Entertainment,12000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/entertainment,$10k–$50k
Esferas.io,AI,12000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$10k–$50k
EverFlame Design,Design Tools,12000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/design-tools,$10k–$50k
"Faceless, LLC",Content Creation,12000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$10k–$50k
Hidden Business (Mobile Apps),Mobile Apps,12000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$10k–$50k
Nordgard,Community,12000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/community,$10k–$50k
PostNitro,Content Creation,12000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$10k–$50k
Sandimax,Utilities,12000,,PLG / inbound software,https://trustmrr.com/category/utilities,$10k–$50k
Stealth Venture (SaaS),SaaS,12000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/saas,$10k–$50k
Yakkr,Content Creation,12000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$10k–$50k
ChatEDU Inc.,Education,11000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/education,$10k–$50k
Cool Game,Games,11000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/games,$10k–$50k
DM Champ,Sales,11000,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/sales,$10k–$50k
Kassenmeister | AK Software GmbH,E-commerce,11000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$10k–$50k
SMMDealFinder.com,AI,11000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$10k–$50k
nutrIA,Mobile Apps,11000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$10k–$50k
AI Labs,AI,10000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$10k–$50k
Bootstrapped Online Education & Courses SaaS,Education,10000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/education,$10k–$50k
Catalister,E-commerce,10000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$10k–$50k
"Jake Marine 25, Building",Sales,10000,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/sales,$10k–$50k
Marea Alcalina,E-commerce,10000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$10k–$50k
UX Magic Inc.,Design Tools,10000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/design-tools,$10k–$50k
Guidejar,Customer Support,9900,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/customer-support,$5k–$10k
ShipFast,Developer Tools,9800,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$5k–$10k
BERACE,Games,9700,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/games,$5k–$10k
Cure My Swing,E-commerce,9700,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$5k–$10k
Shiny Go Clean USA,Marketplace,9700,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/marketplace,$5k–$10k
CodeFast,Education,9600,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/education,$5k–$10k
MapPack ToolBox,Marketing,9500,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$5k–$10k
Fidelatoo,Mobile Apps,9100,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$5k–$10k
Frontproxy,Developer Tools,9100,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$5k–$10k
StartClaw,OpenClaw (special),9000,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$5k–$10k
Numbers Game Limited,Analytics,8800,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/analytics,$5k–$10k
Arcton,Sales,8700,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/sales,$5k–$10k
FitCal,Health & Fitness,8700,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/health-fitness,$5k–$10k
"Stilo Media, LLC",Content Creation,8700,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$5k–$10k
Zero G Trading,Fintech,8700,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/fintech,$5k–$10k
Confidential Startup 2,Mobile Apps,8500,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$5k–$10k
FIVEMANAGE AS,Developer Tools,8300,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$5k–$10k
LarryBrain - Openclaw Marketplace,OpenClaw (special),8100,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$5k–$10k
Prototipal,Developer Tools,8100,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$5k–$10k
RapidNative,Developer Tools,8100,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$5k–$10k
Subbasta,Real Estate,8000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/real-estate,$5k–$10k
FeedGuardians,Social Media,7900,Software / SaaS,Creator / content / audience-led,https://trustmrr.com/category/social-media,$5k–$10k
Hamptons Leisure Limo,Travel,7800,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/travel,$5k–$10k
Bibly,Mobile Apps,7700,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$5k–$10k
Strive Hybrid,Health & Fitness,7700,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/health-fitness,$5k–$10k
Hidden Business (Social Media),Social Media,7600,Software / SaaS,Creator / content / audience-led,https://trustmrr.com/category/social-media,$5k–$10k
Match Metrics,Analytics,7500,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/analytics,$5k–$10k
Trackly c/o Changeflow Ltd,SaaS,7400,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/saas,$5k–$10k
OpenClaw Kit,Developer Tools,7200,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$5k–$10k
Total Football Analysis,News & Magazines,7200,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/news-magazines,$5k–$10k
Linkar,Fintech,6900,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/fintech,$5k–$10k
TinyLaunch,SaaS,6800,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/saas,$5k–$10k
Eloking,E-commerce,6700,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$5k–$10k
Upvote Club,Social Media,6700,Software / SaaS,Creator / content / audience-led,https://trustmrr.com/category/social-media,$5k–$10k
Hidden Business iOS-only generative AI mobile app,Mobile Apps,6600,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$5k–$10k
LIZAONAIR,Social Media,6600,Software / SaaS,Creator / content / audience-led,https://trustmrr.com/category/social-media,$5k–$10k
AI Image Editor,Mobile Apps,6500,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/mobile-apps,$5k–$10k
Career Hound,Recruiting & HR,6500,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/recruiting,$5k–$10k
OpenAlternative,Developer Tools,6300,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$5k–$10k
STOIC MANUAL LLC,Education,6300,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/education,$5k–$10k
AtomicBot.ai,OpenClaw (special),6200,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$5k–$10k
EmailSneak.com,Marketing,6100,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$5k–$10k
Agent 37,OpenClaw (special),6000,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$5k–$10k
PxlSafe - Tools for Video Editors,Content Creation,6000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$5k–$10k
Promethee (Eclipse),Productivity,5700,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/productivity,$5k–$10k
Nytfire Apps,Real Estate,5600,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/real-estate,$5k–$10k
Yoga Sunrise Poitiers,Health & Fitness,5600,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/health-fitness,$5k–$10k
Komposo,Design Tools,5500,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/design-tools,$5k–$10k
Barron Tech LLC,Sales,5400,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/sales,$5k–$10k
ScreenSage Pro,Content Creation,5400,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$5k–$10k
Design Mojo ALAF,Developer Tools,5300,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/developer-tools,$5k–$10k
Roboquant AI,No-Code,5300,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/no-code,$5k–$10k
Stealth Company (Global Job Board),Recruiting & HR,5300,Software / SaaS,Sales-led / outbound / SEO,https://trustmrr.com/category/recruiting,$5k–$10k
Followr,AI,5100,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$5k–$10k
PodSpot,Utilities,5100,,PLG / inbound software,https://trustmrr.com/category/utilities,$5k–$10k
Xagio.com - AI SEO,AI,5100,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$5k–$10k
EditMyPodcast,Content Creation,5000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$5k–$10k
